UID          PID    PPID  C STIME TTY          TIME CMD
root          54       2  0 18:25 ?        00:00:00 [cpuhp/6]
root          55       2  0 18:25 ?        00:00:00 [idle_inject/6]
root          56       2  0 18:25 ?        00:00:00 [migration/6]
root          57       2  1 18:25 ?        00:01:54 [ksoftirqd/6]
root          59       2  0 18:25 ?        00:00:00 [kworker/6:0H-events_highpri]
root          60       2  0 18:25 ?        00:00:00 [cpuhp/7]
root          61       2  0 18:25 ?        00:00:00 [idle_inject/7]
root          62       2  0 18:25 ?        00:00:00 [migration/7]
root          63       2  0 18:25 ?        00:00:00 [ksoftirqd/7]
root          65       2  0 18:25 ?        00:00:00 [kworker/7:0H-events_highpri]
root          66       2  0 18:25 ?        00:00:00 [cpuhp/8]
root          67       2  0 18:25 ?        00:00:00 [idle_inject/8]
root          68       2  0 18:25 ?        00:00:00 [migration/8]
root          69       2  0 18:25 ?        00:00:00 [ksoftirqd/8]
root          71       2  0 18:25 ?        00:00:00 [kworker/8:0H-events_highpri]
root          72       2  0 18:25 ?        00:00:00 [cpuhp/9]
root          73       2  0 18:25 ?        00:00:00 [idle_inject/9]
root          74       2  0 18:25 ?        00:00:00 [migration/9]
root          75       2  0 18:25 ?        00:00:00 [ksoftirqd/9]
root          77       2  0 18:25 ?        00:00:00 [kworker/9:0H-events_highpri]
root          78       2  0 18:25 ?        00:00:00 [cpuhp/10]
root          79       2  0 18:25 ?        00:00:00 [idle_inject/10]
root          80       2  0 18:25 ?        00:00:00 [migration/10]
root          81       2  0 18:25 ?        00:00:00 [ksoftirqd/10]
root          83       2  0 18:25 ?        00:00:00 [kworker/10:0H-events_highpri]
root          84       2  0 18:25 ?        00:00:00 [cpuhp/11]
root          85       2  0 18:25 ?        00:00:00 [idle_inject/11]
root          86       2  0 18:25 ?        00:00:00 [migration/11]
root          87       2  0 18:25 ?        00:00:00 [ksoftirqd/11]
root          88       2  0 18:25 ?        00:00:02 [kworker/11:0-i915-unordered]
root          89       2  0 18:25 ?        00:00:00 [kworker/11:0H-events_highpri]
root          90       2  0 18:25 ?        00:00:00 [cpuhp/12]
root          91       2  0 18:25 ?        00:00:00 [idle_inject/12]
root          92       2  0 18:25 ?        00:00:00 [migration/12]
root          93       2  0 18:25 ?        00:00:00 [ksoftirqd/12]
root          95       2  0 18:25 ?        00:00:00 [kworker/12:0H-events_highpri]
root          96       2  0 18:25 ?        00:00:00 [cpuhp/13]
root          97       2  0 18:25 ?        00:00:00 [idle_inject/13]
root          98       2  0 18:25 ?        00:00:00 [migration/13]
root          99       2  0 18:25 ?        00:00:00 [ksoftirqd/13]
root         101       2  0 18:25 ?        00:00:00 [kworker/13:0H-events_highpri]
root         102       2  0 18:25 ?        00:00:00 [cpuhp/14]
root         103       2  0 18:25 ?        00:00:00 [idle_inject/14]
root         104       2  0 18:25 ?        00:00:00 [migration/14]
root         105       2  0 18:25 ?        00:00:00 [ksoftirqd/14]
root         107       2  0 18:25 ?        00:00:00 [kworker/14:0H-events_highpri]
root         108       2  0 18:25 ?        00:00:00 [cpuhp/15]
root         109       2  0 18:25 ?        00:00:00 [idle_inject/15]
root         110       2  0 18:25 ?        00:00:00 [migration/15]
root         111       2  0 18:25 ?        00:00:00 [ksoftirqd/15]
root         113       2  0 18:25 ?        00:00:00 [kworker/15:0H-events_highpri]
root         114       2  0 18:25 ?        00:00:00 [kdevtmpfs]
root         115       2  0 18:25 ?        00:00:00 [kworker/R-inet_frag_wq]
root         116       2  0 18:25 ?        00:00:00 [kauditd]
root         117       2  0 18:25 ?        00:00:00 [khungtaskd]
root         118       2  0 18:25 ?        00:00:00 [oom_reaper]
root         121       2  0 18:25 ?        00:00:00 [kworker/R-writeback]
root         122       2  0 18:25 ?        00:00:15 [kcompactd0]
root         123       2  0 18:25 ?        00:00:00 [ksmd]
root         124       2  0 18:25 ?        00:00:00 [khugepaged]
root         125       2  0 18:25 ?        00:00:00 [kworker/R-kintegrityd]
root         126       2  0 18:25 ?        00:00:00 [kworker/R-kblockd]
root         127       2  0 18:25 ?        00:00:00 [kworker/R-blkcg_punt_bio]
root         129       2  0 18:25 ?        00:00:00 [irq/9-acpi]
root         131       2  0 18:25 ?        00:00:00 [kworker/R-tpm_dev_wq]
root         132       2  0 18:25 ?        00:00:00 [kworker/R-ata_sff]
root         133       2  0 18:25 ?        00:00:00 [kworker/R-md]
root         134       2  0 18:25 ?        00:00:00 [kworker/R-md_bitmap]
root         135       2  0 18:25 ?        00:00:00 [kworker/R-edac-poller]
root         136       2  0 18:25 ?        00:00:00 [kworker/R-devfreq_wq]
root         138       2  0 18:25 ?        00:00:00 [watchdogd]
root         139       2  0 18:25 ?        00:00:00 [kworker/1:1H-kblockd]
root         141       2  0 18:25 ?        00:00:07 [kswapd0]
root         142       2  0 18:25 ?        00:00:00 [ecryptfs-kthread]
root         143       2  0 18:25 ?        00:00:00 [kworker/R-kthrotld]
root         144       2  0 18:25 ?        00:00:00 [irq/122-aerdrv]
root         145       2  0 18:25 ?        00:00:00 [irq/122-pcie-dpc]
root         146       2  0 18:25 ?        00:00:00 [irq/123-aerdrv]
root         147       2  0 18:25 ?        00:00:00 [irq/123-pcie-dpc]
root         148       2  0 18:25 ?        00:00:00 [irq/124-aerdrv]
root         149       2  0 18:25 ?        00:00:00 [irq/124-pcie-dpc]
root         150       2  0 18:25 ?        00:00:00 [kworker/R-acpi_thermal_pm]
root         151       2  0 18:25 ?        00:00:00 [hwrng]
root         153       2  0 18:25 ?        00:00:00 [kworker/R-mld]
root         154       2  0 18:25 ?        00:00:00 [kworker/8:1H-i915_cleanup]
root         155       2  0 18:25 ?        00:00:00 [kworker/R-ipv6_addrconf]
root         162       2  0 18:25 ?        00:00:00 [kworker/R-kstrp]
root         184       2  0 18:25 ?        00:00:00 [kworker/R-charger_manager]
root         185       2  0 18:25 ?        00:00:00 [kworker/0:1H-kblockd]
root         209       2  0 18:25 ?        00:00:00 [kworker/13:1H-i915_cleanup]
root         212       2  0 18:25 ?        00:00:00 [kworker/12:1H-kblockd]
root         230       2  0 18:25 ?        00:00:00 [kworker/6:1H-i915_cleanup]
root         232       2  0 18:25 ?        00:00:00 [kworker/4:1H-kblockd]
root         254       2  0 18:25 ?        00:00:00 [kworker/7:1H-i915_cleanup]
root         255       2  0 18:25 ?        00:00:00 [kworker/14:1H-i915_cleanup]
root         256       2  0 18:25 ?        00:00:00 [kworker/15:1H-i915_cleanup]
root         257       2  0 18:25 ?        00:00:00 [kworker/10:1H-kblockd]
root         258       2  0 18:25 ?        00:00:00 [kworker/9:1H-i915_cleanup]
root         259       2  0 18:25 ?        00:00:00 [kworker/11:1H-i915_cleanup]
root         265       2  0 18:25 ?        00:00:00 [kworker/3:1H-kblockd]
root         298       2  0 18:25 ?        00:00:00 [scsi_eh_0]
root         299       2  0 18:25 ?        00:00:00 [kworker/R-scsi_tmf_0]
root         300       2  0 18:25 ?        00:00:00 [kworker/R-nvme-wq]
root         301       2  0 18:25 ?        00:00:00 [kworker/R-nvme-reset-wq]
root         302       2  0 18:25 ?        00:00:00 [kworker/R-nvme-delete-wq]
root         303       2  0 18:25 ?        00:00:00 [kworker/R-nvme-auth-wq]
root         307       2  0 18:25 ?        00:01:05 [irq/135-ELAN1203:00]
root         308       2  0 18:25 ?        00:00:00 [kworker/R-USBC000:00-con1]
root         310       2  0 18:25 ?        00:00:00 [kworker/5:1H-kblockd]
root         311       2  0 18:25 ?        00:00:00 [kworker/2:1H-i915_cleanup]
root         348       2  0 18:25 ?        00:00:00 [jbd2/nvme0n1p5-8]
root         349       2  0 18:25 ?        00:00:00 [kworker/R-ext4-rsv-conversion]
root         401       1  0 18:25 ?        00:00:01 /usr/lib/systemd/systemd-journald
root         435       1  0 18:25 ?        00:00:00 /usr/lib/systemd/systemd-udevd
root         469       2  0 18:25 ?        00:00:01 [kworker/5:1-i915-unordered]
root         495       2  0 18:25 ?        00:00:00 [psimon]
root         616       2  0 18:25 ?        00:00:00 [kworker/R-asus_wireless_workqueue]
root         663       2  0 18:25 ?        00:00:00 [irq/152-mei_me]
root         686       2  0 18:25 ?        00:00:00 [kworker/R-cryptd]
root         687       2  0 18:25 ?        00:00:00 [kworker/R-cfg80211]
root         704       2  0 18:25 ?        00:00:00 [kworker/R-led_workqueue]
root         720       2  0 18:25 ?        00:00:00 [nv_queue]
root         721       2  0 18:25 ?        00:00:00 [nv_mem_pool_scrubber_queue]
root         722       2  0 18:25 ?        00:00:00 [nv_mem_pool_scrubber_queue]
root         723       2  0 18:25 ?        00:00:00 [nv_mem_pool_scrubber_queue]
root         724       2  0 18:25 ?        00:00:00 [nv_queue]
root         725       2  0 18:25 ?        00:00:00 [nv_open_q]
root         729       2  0 18:25 ?        00:00:00 [kworker/R-ttm]
root         730       2  0 18:25 ?        00:00:00 [nvidia-modeset/kthread_q]
root         731       2  0 18:25 ?        00:00:00 [nvidia-modeset/deferred_close_kthread_q]
root         739       2  0 18:25 ?        00:00:00 [irq/153-nvidia]
root         740       2  0 18:25 ?        00:00:00 [nvidia]
root         741       2  0 18:25 ?        00:00:00 [nv_queue]
root         745       2  0 18:25 ?        00:00:00 [card1-crtc0]
root         746       2  0 18:25 ?        00:00:00 [card1-crtc1]
root         747       2  0 18:25 ?        00:00:00 [card1-crtc2]
root         759       2  0 18:25 ?        00:00:00 [jbd2/nvme0n1p7-8]
root         760       2  0 18:25 ?        00:00:00 [kworker/R-ext4-rsv-conversion]
root         896       2  0 18:25 ?        00:00:18 [napi/phy0-0]
root         897       2  0 18:25 ?        00:00:00 [napi/phy0-0]
root         898       2  0 18:25 ?        00:00:10 [napi/phy0-0]
systemd+     919       1  0 18:25 ?        00:00:02 /usr/lib/systemd/systemd-oomd
systemd+     920       1  0 18:25 ?        00:00:02 /usr/lib/systemd/systemd-resolved
systemd+     921       1  0 18:25 ?        00:00:00 /usr/lib/systemd/systemd-timesyncd
avahi        993       1  0 18:25 ?        00:00:00 avahi-daemon: running [elian-herrera-correa-ASUS-TUF-Gaming-F15-FX506LI-FX506LI.local]
root         994       1  0 18:25 ?        00:00:00 /usr/libexec/bluetooth/bluetoothd
message+     995       1  0 18:25 ?        00:00:01 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
gnome-r+     999       1  0 18:25 ?        00:00:00 /usr/libexec/gnome-remote-desktop-daemon --system
polkitd     1009       1  0 18:25 ?        00:00:00 /usr/lib/polkit-1/polkitd --no-debug
root        1013       1  0 18:25 ?        00:00:00 /usr/libexec/power-profiles-daemon
root        1024       1  0 18:25 ?        00:00:13 /usr/lib/snapd/snapd
root        1026       1  0 18:25 ?        00:00:00 /usr/libexec/accounts-daemon
root        1027       1  0 18:25 ?        00:00:00 /usr/sbin/cron -f -P
root        1028       1  0 18:25 ?        00:00:00 /usr/libexec/switcheroo-control
root        1031       1  0 18:25 ?        00:00:00 /usr/lib/systemd/systemd-logind
root        1032       1  0 18:25 ?        00:00:02 /usr/sbin/thermald --systemd --dbus-enable --adaptive
root        1033       1  0 18:25 ?        00:00:00 /usr/libexec/udisks2/udisksd
avahi       1042     993  0 18:25 ?        00:00:00 avahi-daemon: chroot helper
syslog      1098       1  0 18:25 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root        1107       1  0 18:25 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root        1125       1  0 18:25 ?        00:00:00 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
root        1149       1  0 18:25 ?        00:00:00 /usr/sbin/ModemManager
root        1200       1  0 18:25 ?        00:00:00 /usr/libexec/upowerd
root        1277       2  0 18:25 ?        00:00:04 [mt76-tx phy0]
root        1429       2  0 18:25 ?        00:00:00 [UVM global queue]
root        1431       2  0 18:25 ?        00:00:00 [UVM deferred release queue]
root        1432       2  0 18:25 ?        00:00:00 [UVM Tools Event Queue]
nvidia-+    1461       1  0 18:25 ?        00:00:00 /usr/bin/nvidia-persistenced --user nvidia-persistenced --no-persistence-mode --verbose
root        1641       1  0 18:25 ?        00:00:00 /usr/sbin/cupsd -l
root        1650       1  0 18:25 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root        1677       1  0 18:25 ?        00:00:09 /usr/bin/containerd
root        1706       1  0 18:25 ?        00:00:00 /usr/sbin/gdm3
rtkit       1795       1  0 18:25 ?        00:00:00 /usr/libexec/rtkit-daemon
root        1886       2  0 18:25 ?        00:00:00 [krfcommd]
colord      2081       1  0 18:25 ?        00:00:00 /usr/libexec/colord
cups-br+    2446       1  0 18:25 ?        00:00:00 /usr/sbin/cups-browsed
root        2447       1  0 18:25 ?        00:00:05 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
kernoops    2449       1  0 18:25 ?        00:00:00 /usr/sbin/kerneloops --test
kernoops    2452       1  0 18:25 ?        00:00:00 /usr/sbin/kerneloops
root        2744       1  0 18:25 ?        00:00:00 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 4657f40baef96faa5dfa3f59803e6347370ed7a1f141a4e9b4d2e32eb6266c70 -address /run/containerd/containerd.sock
root        2746       1  0 18:25 ?        00:00:00 /usr/bin/containerd-shim-runc-v2 -namespace moby -id ba36d71e1c566f9ff1d52ef5b7a2f1dba4895b78c795a141167e37d5d38b6c5a -address /run/containerd/containerd.sock
root        2748       1  0 18:25 ?        00:00:03 /usr/bin/containerd-shim-runc-v2 -namespace moby -id fc986cd79a59c45bdfe5ec5fe46a1fffd8dfdafb0590701708bad2e4edfe6134 -address /run/containerd/containerd.sock
dhcpcd      2815    2744  0 18:25 ?        00:00:00 php -S [::]:8080 -t /var/www/html
5050        2816    2746  0 18:25 ?        00:00:05 /venv/bin/python3 /venv/bin/gunicorn --limit-request-line 8190 --limit-request-fields 100 --limit-request-field_size 8190 --timeout 86400 --bind [::]:80 -w 1 --threads 25 --access-logfile - -c gunicorn_config.py run_pgadmin:app
70          2829    2748  0 18:25 ?        00:00:00 postgres
root        2918    2447  0 18:25 ?        00:00:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 16543 -container-ip 173.21.0.254 -container-port 80 -use-listen-fd
root        2924    2447  0 18:25 ?        00:00:00 /usr/bin/docker-proxy -proto tcp -host-ip :: -host-port 16543 -container-ip 173.21.0.254 -container-port 80 -use-listen-fd
root        2947    2447  0 18:25 ?        00:00:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 5434 -container-ip 173.21.0.251 -container-port 5432 -use-listen-fd
root        2953    2447  0 18:25 ?        00:00:00 /usr/bin/docker-proxy -proto tcp -host-ip :: -host-port 5434 -container-ip 173.21.0.251 -container-port 5432 -use-listen-fd
root        2975    2447  0 18:25 ?        00:00:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 8081 -container-ip 173.21.0.253 -container-port 8080 -use-listen-fd
root        2981    2447  0 18:25 ?        00:00:00 /usr/bin/docker-proxy -proto tcp -host-ip :: -host-port 8081 -container-ip 173.21.0.253 -container-port 8080 -use-listen-fd
70          3071    2829  0 18:25 ?        00:00:00 postgres: io worker 0
70          3073    2829  0 18:25 ?        00:00:00 postgres: io worker 1
70          3074    2829  0 18:25 ?        00:00:00 postgres: io worker 2
70          3075    2829  0 18:25 ?        00:00:00 postgres: checkpointer 
70          3076    2829  0 18:25 ?        00:00:00 postgres: background writer 
70          3080    2829  0 18:25 ?        00:00:00 postgres: walwriter 
70          3081    2829  0 18:25 ?        00:00:00 postgres: autovacuum launcher 
70          3082    2829  0 18:25 ?        00:00:00 postgres: logical replication launcher 
root        3116    2816  0 18:25 ?        00:00:00 /usr/libexec/postfix/master -w
dhcpcd      3118    3116  0 18:25 ?        00:00:00 qmgr -l -t unix -u
root        3127    1706  0 18:25 ?        00:00:00 gdm-session-worker [pam/gdm-password]
elian-h+    3148       1  0 18:25 ?        00:00:00 /usr/lib/systemd/systemd --user
elian-h+    3155    3148  0 18:25 ?        00:00:00 (sd-pam)
elian-h+    3168    3148  0 18:25 ?        00:00:18 /usr/bin/pipewire
elian-h+    3169    3148  0 18:25 ?        00:00:00 /usr/bin/pipewire -c filter-chain.conf
elian-h+    3173    3148  0 18:25 ?        00:00:00 /usr/bin/wireplumber
elian-h+    3175    3148  0 18:25 ?        00:00:58 /usr/bin/pipewire-pulse
elian-h+    3176    3148  0 18:25 ?        00:00:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
elian-h+    3186    3148  0 18:25 ?        00:00:01 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
elian-h+    3236    3148  0 18:25 ?        00:00:00 /usr/libexec/xdg-document-portal
elian-h+    3240    3148  0 18:25 ?        00:00:00 /usr/libexec/xdg-permission-store
root        3247    3236  0 18:25 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
elian-h+    3270    3127  0 18:25 tty2     00:00:00 /usr/libexec/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
elian-h+    3277    3270  8 18:25 tty2     00:12:41 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -nolisten tcp -background none -noreset -keeptty -novtswitch -verbose 3
root        3330       2  0 18:25 ?        00:00:00 [nvidia-drm/timeline-1d]
elian-h+    3385    3270  0 18:25 tty2     00:00:00 /usr/libexec/gnome-session-binary --session=ubuntu
elian-h+    3468    3148  0 18:25 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
elian-h+    3475    3468  0 18:25 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus_1
elian-h+    3484    3148  0 18:25 ?        00:00:00 /usr/libexec/gcr-ssh-agent --base-dir /run/user/1000/gcr
elian-h+    3485    3148  0 18:25 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
elian-h+    3499    3148  0 18:25 ?        00:00:00 /usr/libexec/gvfsd
elian-h+    3507    3148  0 18:25 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
elian-h+    3510    3148  0 18:25 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
elian-h+    3553    3148  6 18:25 ?        00:09:02 /usr/bin/gnome-shell
elian-h+    3576    3553  0 18:25 ?        00:00:02 /usr/libexec/mutter-x11-frames
elian-h+    3579    3148  0 18:25 ?        00:00:01 /usr/libexec/at-spi2-registryd --use-gnome-session
elian-h+    3592    3148  0 18:25 ?        00:00:00 /snap/snapd-desktop-integration/343/usr/bin/snapd-desktop-integration
elian-h+    3657    3592  0 18:25 ?        00:00:00 /snap/snapd-desktop-integration/343/usr/bin/snapd-desktop-integration
elian-h+    3674    3148  0 18:25 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
elian-h+    3683    3148  0 18:25 ?        00:00:00 /usr/libexec/evolution-source-registry
elian-h+    3693    3148  0 18:25 ?        00:00:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
elian-h+    3716    3148  0 18:25 ?        00:00:11 /usr/bin/ibus-daemon --panel disable --xim
elian-h+    3717    3148  0 18:25 ?        00:00:00 /usr/libexec/gsd-a11y-settings
elian-h+    3718    3148  0 18:25 ?        00:00:00 /usr/libexec/gsd-color
elian-h+    3719    3148  0 18:25 ?        00:00:00 /usr/libexec/gsd-datetime
elian-h+    3723    3148  0 18:25 ?        00:00:00 /usr/libexec/gsd-housekeeping
elian-h+    3724    3148  0 18:25 ?        00:00:00 /usr/libexec/gsd-keyboard
elian-h+    3727    3148  0 18:25 ?        00:00:00 /usr/libexec/gsd-media-keys
elian-h+    3728    3148  0 18:25 ?        00:00:00 /usr/libexec/gsd-power
elian-h+    3730    3148  0 18:25 ?        00:00:00 /usr/libexec/gsd-print-notifications
elian-h+    3733    3148  0 18:25 ?        00:00:00 /usr/libexec/gsd-rfkill
elian-h+    3739    3148  0 18:25 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
elian-h+    3744    3148  0 18:25 ?        00:00:00 /usr/libexec/gsd-sharing
elian-h+    3745    3148  0 18:25 ?        00:00:00 /usr/libexec/gsd-smartcard
elian-h+    3753    3148  0 18:25 ?        00:00:00 /usr/libexec/gsd-sound
elian-h+    3756    3148  0 18:25 ?        00:00:00 /usr/libexec/gsd-wacom
elian-h+    3760    3148  0 18:25 ?        00:00:00 /usr/libexec/gsd-xsettings
elian-h+    3776    3510  0 18:25 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
elian-h+    3777    3148  0 18:25 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
elian-h+    3802    3510  0 18:25 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
elian-h+    3866    3148  0 18:25 ?        00:00:00 /usr/libexec/goa-daemon
elian-h+    3871    3716  0 18:25 ?        00:00:00 /usr/libexec/ibus-memconf
elian-h+    3873    3716  0 18:25 ?        00:00:04 /usr/libexec/ibus-extension-gtk3
elian-h+    3877    3148  0 18:25 ?        00:00:01 /usr/libexec/ibus-x11 --kill-daemon
elian-h+    3883    3148  0 18:25 ?        00:00:00 /usr/libexec/ibus-portal
elian-h+    3925    3148  0 18:25 ?        00:00:00 /usr/libexec/gsd-printer
elian-h+    3959    3148  0 18:25 ?        00:00:00 /usr/libexec/goa-identity-service
elian-h+    3981    3148  0 18:25 ?        00:00:00 /usr/libexec/evolution-calendar-factory
elian-h+    3990    3148  0 18:25 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
elian-h+    4005    3148  0 18:25 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
elian-h+    4012    3148  0 18:25 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
elian-h+    4020    3148  0 18:25 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
elian-h+    4039    3148  0 18:25 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
elian-h+    4051    3148  0 18:25 ?        00:00:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.ScreenSaver
elian-h+    4085    3716  0 18:25 ?        00:00:02 /usr/libexec/ibus-engine-simple
elian-h+    4093    3148  0 18:25 ?        00:00:00 /usr/libexec/tracker-miner-fs-3
elian-h+    4106    3148  0 18:25 ?        00:00:00 /usr/libexec/dconf-service
elian-h+    4137    3499  0 18:25 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.25 /org/gtk/gvfs/exec_spaw/0
elian-h+    4159    3148  0 18:25 ?        00:00:01 /usr/libexec/xdg-desktop-portal
elian-h+    4164    3148  0 18:25 ?        00:00:04 /usr/libexec/xdg-desktop-portal-gnome
elian-h+    4182    3148  0 18:25 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
elian-h+    4207    3553  0 18:25 ?        00:00:01 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/app/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com/app
elian-h+    4256    3148  0 18:25 ?        00:00:00 /usr/libexec/gvfsd-metadata
5050        4349    2816  0 18:25 ?        00:00:06 /venv/bin/python3 /venv/bin/gunicorn --limit-request-line 8190 --limit-request-fields 100 --limit-request-field_size 8190 --timeout 86400 --bind [::]:80 -w 1 --threads 25 --access-logfile - -c gunicorn_config.py run_pgadmin:app
elian-h+    4365    3499  0 18:25 ?        00:00:00 /usr/libexec/gvfsd-recent --spawner :1.25 /org/gtk/gvfs/exec_spaw/1
elian-h+    4847    3499  0 18:26 ?        00:00:00 /usr/libexec/gvfsd-network --spawner :1.25 /org/gtk/gvfs/exec_spaw/2
elian-h+    4856    3499  0 18:26 ?        00:00:00 /usr/libexec/gvfsd-dnssd --spawner :1.25 /org/gtk/gvfs/exec_spaw/3
root        4955       1  0 18:26 ?        00:00:02 /usr/libexec/fwupd/fwupd
elian-h+    5080    3510  0 18:26 ?        00:00:00 /usr/bin/update-notifier
elian-h+    6053    3148  0 18:29 ?        00:00:14 /usr/bin/nautilus --gapplication-service
elian-h+    6289    3553 18 18:29 ?        00:26:48 /snap/firefox/7720/usr/lib/firefox/firefox
elian-h+    6560    3148  0 18:29 ?        00:00:00 /snap/firefox/7720/usr/lib/firefox/crashhelper 6289 14 /tmp/ 17
